"STATE" "Y" "X1" "X2" "X3" "Region"
"1" "ME" 61 1704 388 399 1
"2" "NH" 68 1885 272 598 1
"3" "VT" 72 1745 397 370 1
"4" "MA" 72 2394 458 868 1
"5" "RI" 62 1966 157 899 1
"6" "CT" 91 2817 162 690 1
"7" "NY" 120 2685 494 728 1
"8" "NJ" 99 2521 153 826 1
"9" "PA" 70 2127 152 656 1
"10" "OH" 82 2184 187 674 2
"11" "IN" 84 1990 192 568 2
"12" "IL" 84 2435 166 759 2
"13" "MI" 104 2099 203 650 2
"14" "WI" 84 1936 193 621 2
"15" "MN" 103 1916 382 610 2
"16" "IA" 86 1863 185 522 2
"17" "MO" 69 2037 264 613 2
"18" "ND" 74 1697 129 351 2
"19" "SD" 79 1644 111 390 2
"20" "NB" 80 1894 179 520 2
"21" "KS" 78 2001 180 564 2
"22" "DE" 73 2760 188 326 3
"23" "MD" 92 2221 393 562 3
"24" "VA" 97 1674 402 487 3
"25" "WV" 66 1509 205 358 3
"26" "NC" 65 1384 223 362 3
"27" "SC" 57 1218 253 343 3
"28" "GA" 60 1487 220 498 3
"29" "FL" 74 1876 334 628 3
"30" "KY" 49 1397 294 377 3
"31" "TN" 60 1439 246 457 3
"32" "AL" 59 1359 237 517 3
"33" "MS" 68 1053 148 362 3
"34" "AR" 56 1225 203 416 3
"35" "LA" 72 1576 153 562 3
"36" "OK" 80 1740 278 610 3
"37" "TX" 79 1814 409 727 3
"38" "MT" 55 1920 312 463 4
"39" "ID" 79 1701 218 414 4
"40" "WY" 42 2088 215 568 4
"41" "CO" 108 2047 459 621 4
"42" "NM" 84 1838 438 618 4
"43" "AZ" 87 1932 425 699 4
"44" "UT" 99 1753 194 665 4
"45" "NV" 84 2569 372 663 4
"46" "WA" 112 2160 446 584 4
"47" "OR" 95 2006 482 534 4
"48" "CA" 129 2557 473 717 4
"49" "AK" 67 1900 334 379 4
"50" "HI" 107 1852 531 693 4
